Gènere,Edat,Compra,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10
Home,21,Online,ZK121J01D-A11@8.1,2NA22S0A0-C11@1.1,GS122O0G0-Q11@12.1,NI121J086-N11@16,TI122O013-K12@7,NI121J088-M11@10,PU142G05Q-M11@10.1,QS121J044-J11@12.1,NI122O0D4-C11@1.1,PO222O05F-C11@7
Home,21,Online,M0M22O0B5-Q11@7,4BE22O03S-C11@10,ZK121J01D-A11@8.1,TO222D03U-K13@10,GU122O0AD-M11@9,2NA22S08D-M11@1.1,NA621J020-C11@10,OD142G00W-K11@10,PU142G05Q-M11@10.1,TO222P04H-K11@10
Dona,22,Físicament en botiga,C1822S032-G11@13.2,TH342D00W-A11@10,TI122O013-K12@7,PO222O05F-C11@7,NA622S02J-C11@18.1,M0M22S03N-Q11@1.1,UR622O02B-C11@1.2,TO222P04G-K11@10,2NA22S08D-M11@1.1,DC122O052-Q11@14.2
Home,32,Físicament en botiga,JAL22S000-C11@7,DC122O052-Q11@14.2,1VJ22S01Z-Q11@8,WO322S00J-J11@4,PS722O01N-A11@8,P6822O06D-C11@10.1,SO222O0OC-G11@17,UR622O01U-M11@9,M0M22S03N-Q11@1.1,2NA21J0K0-M11@1.2
Home,21,Físicament en botiga,DC122O052-Q11@14.2,MOQ21J005-Q11@10,M0M22O00C-A11@10,JU621J00H-Q11@8,UM422O00H-A11@13.1,C1822S032-G11@13.2,UR622O02B-G11@1.1,SU222S0PL-G11@16,DRI22O00C-J11@16.2,WO322S00J-J11@4
Home,20,Ambdues opcions per igual,TH342D00W-A11@10,TOB22S01Q-K11@11.1,SU222S0OJ-G11@18.1,PO222O05F-C11@7,SW822O003-K11@8,M0M22S03N-Q11@1.1,NI122O0AR-B11@8,1FI21J009-C11@11,MOQ21J005-Q11@10,QS121J048-C11@19
Home,20,Ambdues opcions per igual,GS122S06V-N11@10,LA222S02G-K11@10,PE1210001-A11@2.1,2NA21J0M4-M12@1.1,TO222P04G-K11@10,TO122S04L-K12@9,HOS21J000-C11@16,C1822S032-G11@13.2,TO721J069-A11@10.1,2NA21J0LP-K11@1.1
Home,24,Físicament en botiga,OS322S0A0-Q11@20.1,SU222O15O-K11@16.1,LA222S02G-K11@10,QS122S02Q-C11@11,TO222P04G-K11@10,GS122O0G0-Q11@12.1,TO222D03U-K13@10,NI121J08I-C11@15,S3422O06B-Q11@8,OD142G00W-K11@10
Home,1,Online,TOB22S01Q-K11@11.1,ZK121J01D-A11@8.1,UR622O02B-G11@1.1,GU122O0AD-M11@9,M0M22O00C-A11@10,NI121J086-N11@16,PU121J03T-K11@10,TO721J069-A11@10.1,SU222O15O-K11@16.1,EA722O003-A11@8
Home,21,Físicament en botiga,LE222S01C-M11@10,OD142G00W-K11@10,NE222O00T-A11@8,C1422S038-K11@13.1,PE1210001-A11@2.1,UM422O00H-A11@13.1,TOB22S01Q-K11@11.1,SW822O003-K11@8,2NA22S09W-C12@1.1,NI122S08O-N11@8
